"","Species","HydroBasin","No_Sites"
"1","Barbatula quignardi","2080017150",8
"2","Barbatula quignardi","2080020120",8
"3","Gobio occitaniae","2080020590",1
"4","Leuciscus burdigalensis","2080020330",2
"5","Leuciscus burdigalensis","2080020590",1
"6","Leuciscus burdigalensis","2080021030",3
"7","Notropis wickliffi","7080047060",25
"8","Pachychilon pictum","2080020590",1
"9","Phoxinus bigerri","2080016960",5
"10","Phoxinus bigerri","2080017150",8
"11","Phoxinus bigerri","2080020120",9
"12","Phoxinus bigerri","2080020330",1
"13","Squalius laietanus","2080016960",5
