"","HydroBasin","HydroBasin","Country","Longitude","Latitude"
"1","2080016510","2080016510","FRA","5.21622278803307","45.2546303660694"
"2","2080016960","2080016960","ESP","2.60156344234344","41.9279379697951"
"3","2080017150","2080017150","ESP","-2.65935600294063","42.744805256342"
"4","2080020120","2080020120","ESP","-2.7999542450718","43.1847567457608"
"5","2080020330","2080020330","FRA","-0.413215575544931","43.3236317631397"
"6","2080020590","2080020590","FRA","2.63645645746848","44.0344101301332"
"7","2080021030","2080021030","FRA","1.78585784066848","46.6048046273792"
"8","2080022150","2080022150","FRA","3.18810316797378","48.7616838545364"
"9","2080023010","2080023010","FRA","8.05844702734918","47.9475292840023"
"10","2080029400","2080029400","FIN","21.7058269977716","62.2237135051012"
"11","2080030100","2080030100","SWE","22.3298986936633","67.6494708573567"
"12","2080030160","2080030160","SWE","21.9080552154835","66.9378409987156"
"13","2080030220","2080030220","SWE","21.3217160944055","66.3539409886174"
"14","2080030370","2080030370","SWE","21.0382468992588","65.1115723514513"
"15","2080030420","2080030420","SWE","21.4660094224158","64.9092415955152"
"16","2080030460","2080030460","SWE","20.7024568365441","64.8971478903863"
"17","2080030560","2080030560","SWE","19.7903564083263","64.6908708665816"
"18","2080030610","2080030610","SWE","20.3942326623365","64.1417959883018"
"19","2080030630","2080030630","SWE","20.2832254011952","63.9377543721356"
"20","2080030650","2080030650","SWE","17.5237998420228","65.0655093958448"
"21","2080030660","2080030660","SWE","19.3682128667397","63.9471875227173"
"22","2080030710","2080030710","SWE","19.4406768663294","63.777089335206"
"23","2080030760","2080030760","SWE","18.9618772526501","63.8060564787339"
"24","2080031060","2080031060","SWE","16.7934121179267","63.9935206953725"
"25","2080031160","2080031160","SWE","15.1888802808928","62.9247929617637"
"26","2080031740","2080031740","SWE","15.1529252386159","59.8105734721185"
"27","2080031750","2080031750","SWE","17.9711956789014","59.0889689519415"
"28","2080031960","2080031960","SWE","14.556945709781","57.8698473910265"
"29","2080032230","2080032230","SWE","15.6437601856122","57.4126675353913"
"30","2080032600","2080032600","SWE","14.8649843750391","56.9865313004802"
"31","2080032670","2080032670","SWE","13.9892472680049","56.421280141787"
"32","2080032980","2080032980","SWE","12.6553331685319","56.2857014766345"
"33","2080033010","2080033010","SWE","13.9901366853811","57.070283104524"
"34","2080033020","2080033020","SWE","13.0769742938436","56.7184651870281"
"35","2080033080","2080033080","SWE","13.2926170206416","57.1211241122233"
"36","2080033090","2080033090","SWE","12.8160152996387","56.8069494124819"
"37","2080033120","2080033120","SWE","12.9103588626458","57.2209216691832"
"38","2080033190","2080033190","SWE","12.6568650067464","57.4568547168765"
"39","2080033320","2080033320","SWE","12.124655314096","56.6102362508113"
"40","2080053790","2080053790","GBR","-1.98476296450096","52.2694704086872"
"41","5080070260","5080070260","AUS","153.016259475199","-26.8047414515887"
"42","5080070390","5080070390","AUS","152.459028463075","-27.3814889048427"
"43","5080070440","5080070440","AUS","152.897214344872","-28.0397561486372"
"44","7080047060","7080047060","USA","-86.6342483348303","39.374202641709"
"45","7080049270","7080049270","USA","-104.30861805965","33.6057992858457"
