"","S1041","S1060","S1081","S1100","S1111","S1121","S1129","S1173","S1191","S1208","S1213","S1215","S1266"
"S1041",1,0.999789597219308,0.999699775215869,0.999855109656758,0.999855109656758,0.999726750377438,0.999761570750852,0.999679324594782,0.999719823923902,0.999787987675627,0.999648820982442,0.999648820982442,0.999741838268973
"S1060",0.999789597219308,1,0.999776572470221,0.999821076465106,0.999821076465106,0.999559018252576,0.999754772243542,0.999820033139704,0.999643276739847,0.999796736549814,0.999728473087433,0.999728473087433,0.999843335549621
"S1081",0.999699775215869,0.999776572470221,1,0.999746756603574,0.999746756603574,0.999608911917615,0.999889964233228,0.999842050757301,0.999681943512204,0.999914938854925,0.999897349270978,0.999897349270978,0.999927191633994
"S1100",0.999855109656758,0.999821076465106,0.999746756603574,1,1,0.999861370388162,0.999858835468605,0.999874382937692,0.999856024251849,0.999864759073094,0.999867876732811,0.999867876732811,0.999896735578377
"S1111",0.999855109656758,0.999821076465106,0.999746756603574,1,1,0.999861370388162,0.999858835468605,0.999874382937692,0.999856024251849,0.999864759073094,0.999867876732811,0.999867876732811,0.999896735578377
"S1121",0.999726750377438,0.999559018252576,0.999608911917615,0.999861370388162,0.999861370388162,1,0.999774437020804,0.999719212454106,0.999691938698913,0.999756114744541,0.999756329142717,0.999756329142717,0.999725422180496
"S1129",0.999761570750852,0.999754772243542,0.999889964233228,0.999858835468605,0.999858835468605,0.999774437020804,1,0.999840924399393,0.999841222982657,0.999922342895462,0.999924094253603,0.999924094253603,0.999956583802709
"S1173",0.999679324594782,0.999820033139704,0.999842050757301,0.999874382937692,0.999874382937692,0.999719212454106,0.999840924399393,1,0.999638213072856,0.999818471353084,0.999859192553182,0.999859192553182,0.99990005793265
"S1191",0.999719823923902,0.999643276739847,0.999681943512204,0.999856024251849,0.999856024251849,0.999691938698913,0.999841222982657,0.999638213072856,1,0.999805472402526,0.999866502840992,0.999866502840992,0.999855787549498
"S1208",0.999787987675627,0.999796736549814,0.999914938854925,0.999864759073094,0.999864759073094,0.999756114744541,0.999922342895462,0.999818471353084,0.999805472402526,1,0.99991456176173,0.99991456176173,0.999933668045993
"S1213",0.999648820982442,0.999728473087433,0.999897349270978,0.999867876732811,0.999867876732811,0.999756329142717,0.999924094253603,0.999859192553182,0.999866502840992,0.99991456176173,1,1,0.999974126385651
"S1215",0.999648820982442,0.999728473087433,0.999897349270978,0.999867876732811,0.999867876732811,0.999756329142717,0.999924094253603,0.999859192553182,0.999866502840992,0.99991456176173,1,1,0.999974126385651
"S1266",0.999741838268973,0.999843335549621,0.999927191633994,0.999896735578377,0.999896735578377,0.999725422180496,0.999956583802709,0.99990005793265,0.999855787549498,0.999933668045993,0.999974126385651,0.999974126385651,1
